Point,Corner,mul_cap,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg2,nf_Mn_drive_values,nf_Mn_tail1_values,nf_Mn_tail2_values,nf_Mp_stg2_values,Pass/Fail,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value
23,nom,6,72,32,100,300,72,32,100,300,near,3.352e-9,4.71e-9,19.91e-6,40.5,682.9e6,14.02e6,690.6e6,1.909e-3,49.22,2,2,2,2,2,2,2,1,2,2,2,2,736.7e6
24,nom,6,72,32,100,400,72,32,100,400,fail,3.385e-9,4.666e-9,18.47e-6,40.13,595.3e6,12.42e6,600.6e6,1.91e-3,49.4,2,2,2,2,2,2,2,1,2,2,2,2,661.3e6
25,nom,6,72,32,100,500,72,32,100,500,fail,3.411e-9,4.639e-9,17.41e-6,39.92,532.4e6,11.3e6,538e6,1.91e-3,49.49,2,2,2,2,2,2,2,1,2,2,2,2,608.4e6
26,nom,6,72,32,100,600,72,32,100,600,fail,3.433e-9,4.62e-9,16.58e-6,39.85,483.8e6,10.31e6,486.8e6,1.91e-3,49.54,2,2,2,2,2,2,2,1,2,2,2,2,551.8e6
27,nom,6,72,32,100,700,72,32,100,700,fail,3.452e-9,4.606e-9,15.91e-6,39.88,444.5e6,9.536e6,450.3e6,1.91e-3,49.56,2,2,2,2,2,2,2,1,2,2,2,2,505.7e6
28,nom,6,72,32,100,800,72,32,100,800,fail,3.468e-9,4.595e-9,15.35e-6,39.98,412e6,8.89e6,414.9e6,1.91e-3,49.57,2,2,2,2,2,2,2,1,2,2,2,2,482.2e6
29,nom,6,72,32,100,900,72,32,100,900,fail,3.483e-9,4.587e-9,14.87e-6,40.11,384.4e6,8.297e6,386.7e6,1.91e-3,49.58,2,2,2,2,2,2,2,1,2,2,2,2,453e6
30,nom,6,72,32,100,1e3,72,32,100,1e3,fail,3.496e-9,4.581e-9,14.45e-6,40.27,360.6e6,7.787e6,365.2e6,1.91e-3,49.57,2,2,2,2,2,2,2,1,2,2,2,2,429.9e6
31,nom,6,72,32,140,100,72,32,140,100,near,3.222e-9,5.066e-9,28.01e-6,49.71,1.076e9,20.78e6,1.084e9,2.497e-3,46.73,2,2,2,2,2,2,2,1,1,2,2,2,845.9e6
32,nom,6,72,32,140,200,72,32,140,200,pass,3.273e-9,4.873e-9,24.14e-6,48.94,835.1e6,16.37e6,841.7e6,2.498e-3,48.38,2,2,2,2,2,2,2,1,2,2,2,2,777.2e6
33,nom,6,72,32,140,300,72,32,140,300,pass,3.316e-9,4.774e-9,21.74e-6,47.44,714.7e6,14.08e6,722.9e6,2.498e-3,48.92,2,2,2,2,2,2,2,1,2,2,2,2,710.9e6
34,nom,6,72,32,140,400,72,32,140,400,pass,3.347e-9,4.721e-9,20.24e-6,47.33,612.8e6,12.43e6,615.9e6,2.498e-3,49.19,2,2,2,2,2,2,2,1,2,2,2,2,648.8e6
35,nom,6,72,32,140,500,72,32,140,500,pass,3.375e-9,4.683e-9,19.04e-6,46.86,555.3e6,11.25e6,562.2e6,2.499e-3,49.34,2,2,2,2,2,2,2,1,2,2,2,2,588.6e6
36,nom,6,72,32,140,600,72,32,140,600,pass,3.396e-9,4.658e-9,18.17e-6,46.73,508.3e6,10.21e6,509.9e6,2.499e-3,49.43,2,2,2,2,2,2,2,1,2,2,2,2,544.4e6
37,nom,6,72,32,140,700,72,32,140,700,pass,3.416e-9,4.639e-9,17.41e-6,46.69,468.9e6,9.439e6,473.5e6,2.499e-3,49.49,2,2,2,2,2,2,2,1,2,2,2,2,504e6
38,nom,6,72,32,140,800,72,32,140,800,pass,3.432e-9,4.625e-9,16.82e-6,46.81,432.7e6,8.789e6,438e6,2.499e-3,49.53,2,2,2,2,2,2,2,1,2,2,2,2,453.9e6
39,nom,6,72,32,140,900,72,32,140,900,pass,3.447e-9,4.614e-9,16.31e-6,46.96,404.9e6,8.177e6,406.5e6,2.499e-3,49.55,2,2,2,2,2,2,2,1,2,2,2,2,438.7e6
40,nom,6,72,32,140,1e3,72,32,140,1e3,pass,3.461e-9,4.604e-9,15.83e-6,47.1,380.5e6,7.681e6,383.4e6,2.499e-3,49.57,2,2,2,2,2,2,2,1,2,2,2,2,414.3e6
41,nom,6,72,32,180,100,72,32,180,100,near,3.219e-9,5.18e-9,29.75e-6,49.22,1.155e9,21.51e6,1.163e9,3.086e-3,45.74,2,2,2,2,2,2,2,1,1,2,2,2,793.1e6
42,nom,6,72,32,180,200,72,32,180,200,pass,3.251e-9,4.94e-9,25.59e-6,51.74,891.9e6,16.6e6,900.7e6,3.087e-3,47.9,2,2,2,2,2,2,2,1,2,2,2,2,759.1e6
43,nom,6,72,32,180,300,72,32,180,300,pass,3.29e-9,4.833e-9,23.21e-6,52.96,710.5e6,14.18e6,719.1e6,3.087e-3,48.61,2,2,2,2,2,2,2,1,2,2,2,2,691.1e6
44,nom,6,72,32,180,400,72,32,180,400,pass,3.321e-9,4.768e-9,21.58e-6,52.05,639e6,12.4e6,640.7e6,3.088e-3,48.96,2,2,2,2,2,2,2,1,2,2,2,2,626.5e6
45,nom,6,72,32,180,500,72,32,180,500,pass,3.347e-9,4.725e-9,20.36e-6,51.78,566.9e6,11.22e6,573.9e6,3.088e-3,49.16,2,2,2,2,2,2,2,1,2,2,2,2,571.9e6
46,nom,6,72,32,180,600,72,32,180,600,pass,3.369e-9,4.694e-9,19.4e-6,51.67,521.4e6,10.15e6,525.4e6,3.088e-3,49.29,2,2,2,2,2,2,2,1,2,2,2,2,530.2e6
47,nom,6,72,32,180,700,72,32,180,700,pass,3.388e-9,4.671e-9,18.62e-6,51.6,477.7e6,9.393e6,481.4e6,3.088e-3,49.38,2,2,2,2,2,2,2,1,2,2,2,2,493.1e6
48,nom,6,72,32,180,800,72,32,180,800,pass,3.405e-9,4.653e-9,17.97e-6,51.73,445.5e6,8.706e6,451.1e6,3.088e-3,49.44,2,2,2,2,2,2,2,1,2,2,2,2,459.7e6
49,nom,6,72,32,180,900,72,32,180,900,pass,3.42e-9,4.639e-9,17.41e-6,51.89,417.3e6,8.081e6,421e6,3.088e-3,49.49,2,2,2,2,2,2,2,1,2,2,2,2,426.9e6
50,nom,6,72,32,180,1e3,72,32,180,1e3,pass,3.433e-9,4.629e-9,16.97e-6,52.06,390.9e6,7.606e6,392.2e6,3.088e-3,49.52,2,2,2,2,2,2,2,1,2,2,2,2,404.8e6
51,nom,6,72,32,220,100,72,32,220,100,near,3.227e-9,5.245e-9,30.62e-6,46.04,1.228e9,22.4e6,1.231e9,3.675e-3,44.77,2,2,2,2,2,2,2,1,1,2,2,2,733.8e6
52,nom,6,72,32,220,200,72,32,220,200,near,3.237e-9,4.994e-9,26.68e-6,58.41,815.9e6,16.95e6,820.2e6,3.675e-3,47.43,2,2,2,2,2,2,2,1,1,2,2,2,737.5e6
53,nom,6,72,32,220,300,72,32,220,300,pass,3.271e-9,4.885e-9,24.4e-6,56.53,730.3e6,14.24e6,738.1e6,3.676e-3,48.3,2,2,2,2,2,2,2,1,2,2,2,2,674.1e6
54,nom,6,72,32,220,400,72,32,220,400,pass,3.302e-9,4.808e-9,22.61e-6,55.76,632.5e6,12.46e6,632.9e6,3.676e-3,48.72,2,2,2,2,2,2,2,1,2,2,2,2,612.3e6
55,nom,6,72,32,220,500,72,32,220,500,pass,3.326e-9,4.762e-9,21.43e-6,55.58,580e6,11.18e6,586.5e6,3.677e-3,48.98,2,2,2,2,2,2,2,1,2,2,2,2,559.8e6
56,nom,6,72,32,220,600,72,32,220,600,pass,3.347e-9,4.729e-9,20.48e-6,55.4,525.2e6,10.13e6,529.7e6,3.677e-3,49.15,2,2,2,2,2,2,2,1,2,2,2,2,519.2e6
57,nom,6,72,32,220,700,72,32,220,700,pass,3.365e-9,4.703e-9,19.7e-6,55.54,488e6,9.315e6,490.3e6,3.677e-3,49.27,2,2,2,2,2,2,2,1,2,2,2,2,477.5e6
58,nom,6,72,32,220,800,72,32,220,800,pass,3.383e-9,4.68e-9,18.95e-6,55.48,451.3e6,8.653e6,456.9e6,3.677e-3,49.34,2,2,2,2,2,2,2,1,2,2,2,2,451.7e6
59,nom,6,72,32,220,900,72,32,220,900,pass,3.398e-9,4.665e-9,18.39e-6,55.72,423.5e6,8.009e6,427.9e6,3.677e-3,49.41,2,2,2,2,2,2,2,1,2,2,2,2,406.4e6
60,nom,6,72,32,220,1e3,72,32,220,1e3,pass,3.411e-9,4.651e-9,17.9e-6,55.82,396.8e6,7.545e6,397.1e6,3.677e-3,49.45,2,2,2,2,2,2,2,1,2,2,2,2,396.3e6
61,nom,6,72,32,260,100,72,32,260,100,near,3.265e-9,5.386e-9,31.81e-6,43.79,1.248e9,23.09e6,1.249e9,4.265e-3,43.64,2,2,2,2,2,2,2,1,1,2,2,2,624e6
62,nom,6,72,32,260,200,72,32,260,200,near,3.227e-9,5.039e-9,27.54e-6,61.11,828.3e6,17.2e6,834.3e6,4.264e-3,46.96,2,2,2,2,2,2,2,1,1,2,2,2,724.7e6
63,nom,6,72,32,260,300,72,32,260,300,pass,3.258e-9,4.925e-9,25.27e-6,59.16,747.5e6,14.32e6,753.9e6,4.266e-3,47.98,2,2,2,2,2,2,2,1,2,2,2,2,660.6e6
64,nom,6,72,32,260,400,72,32,260,400,pass,3.285e-9,4.852e-9,23.66e-6,58.89,640.7e6,12.46e6,642.8e6,4.266e-3,48.49,2,2,2,2,2,2,2,1,2,2,2,2,599.3e6
65,nom,6,72,32,260,500,72,32,260,500,pass,3.308e-9,4.8e-9,22.42e-6,58.36,573.9e6,11.21e6,580.8e6,4.266e-3,48.8,2,2,2,2,2,2,2,1,2,2,2,2,552.1e6
66,nom,6,72,32,260,600,72,32,260,600,pass,3.329e-9,4.762e-9,21.42e-6,58.54,531.8e6,10.07e6,537.2e6,4.266e-3,49,2,2,2,2,2,2,2,1,2,2,2,2,504.8e6
67,nom,6,72,32,260,700,72,32,260,700,pass,3.349e-9,4.729e-9,20.48e-6,58.33,488.2e6,9.31e6,490.5e6,4.266e-3,49.13,2,2,2,2,2,2,2,1,2,2,2,2,468.9e6
68,nom,6,72,32,260,800,72,32,260,800,pass,3.365e-9,4.707e-9,19.8e-6,58.62,456.8e6,8.586e6,462.2e6,4.266e-3,49.24,2,2,2,2,2,2,2,1,2,2,2,2,441.9e6
69,nom,6,72,32,260,900,72,32,260,900,pass,3.38e-9,4.688e-9,19.22e-6,58.65,425.6e6,7.967e6,430.3e6,4.266e-3,49.32,2,2,2,2,2,2,2,1,2,2,2,2,414.4e6
70,nom,6,72,32,260,1e3,72,32,260,1e3,pass,3.393e-9,4.673e-9,18.7e-6,58.73,399.4e6,7.507e6,399.7e6,4.266e-3,49.38,2,2,2,2,2,2,2,1,2,2,2,2,389.3e6
71,nom,6,72,26,20,100,72,26,20,100,fail,3.755e-9,4.922e-9,18.27e-6,20.64,622.3e6,14.72e6,624e6,651.6e-6,49.78,2,2,2,2,2,2,2,1,2,2,2,2,905.4e6
72,nom,6,72,26,20,200,72,26,20,200,fail,3.849e-9,4.874e-9,15.12e-6,17.46,472.1e6,12.83e6,477.2e6,651.8e-6,49.87,2,2,2,2,2,2,2,1,2,2,2,2,787.6e6
73,nom,6,72,26,20,300,72,26,20,300,fail,3.902e-9,4.861e-9,13.52e-6,15.78,394.1e6,11.53e6,395e6,651.9e-6,49.82,2,2,2,2,2,2,2,1,2,2,2,2,716.4e6
74,nom,6,72,26,20,400,72,26,20,400,fail,3.937e-9,4.857e-9,12.49e-6,14.88,342.7e6,10.44e6,347.9e6,652e-6,49.74,2,2,2,2,2,2,2,1,2,2,2,2,626e6
75,nom,6,72,26,20,500,72,26,20,500,fail,3.963e-9,4.856e-9,11.75e-6,14.39,305.3e6,9.57e6,307.5e6,652e-6,49.67,2,2,2,2,2,2,2,1,2,2,2,2,563e6
76,nom,6,72,26,20,600,72,26,20,600,fail,3.984e-9,4.856e-9,11.18e-6,14.1,276.2e6,8.859e6,280.7e6,652.1e-6,49.59,2,2,2,2,2,2,2,1,2,2,2,2,519.1e6
77,nom,6,72,26,20,700,72,26,20,700,fail,4e-9,4.856e-9,10.74e-6,13.96,253e6,8.21e6,253.6e6,652.1e-6,49.53,2,2,2,2,2,2,2,1,2,2,2,2,482.5e6
78,nom,6,72,26,20,800,72,26,20,800,fail,4.014e-9,4.857e-9,10.36e-6,13.87,233.7e6,7.678e6,236.8e6,652.1e-6,49.46,2,2,2,2,2,2,2,1,2,2,2,2,448.5e6
79,nom,6,72,26,20,900,72,26,20,900,fail,4.026e-9,4.858e-9,10.04e-6,13.85,217.4e6,7.232e6,220.9e6,652.2e-6,49.4,2,2,2,2,2,2,2,1,2,2,2,2,411.7e6
80,nom,6,72,26,20,1e3,72,26,20,1e3,fail,4.037e-9,4.859e-9,9.774e-6,13.86,203.5e6,6.816e6,204.7e6,652.2e-6,49.35,2,2,2,2,2,2,2,1,2,2,2,2,382.5e6
81,nom,6,72,26,60,100,72,26,60,100,near,3.609e-9,5.111e-9,24.47e-6,41.25,822.3e6,15.91e6,827.2e6,1.239e-3,48.87,2,2,2,2,2,2,2,1,2,2,2,2,767.3e6
82,nom,6,72,26,60,200,72,26,60,200,fail,3.699e-9,4.972e-9,20.4e-6,37.2,649.3e6,13.34e6,653.1e6,1.239e-3,49.57,2,2,2,2,2,2,2,1,2,2,2,2,698.8e6
83,nom,6,72,26,60,300,72,26,60,300,fail,3.757e-9,4.92e-9,18.27e-6,35.39,550.5e6,11.7e6,557.5e6,1.24e-3,49.77,2,2,2,2,2,2,2,1,2,2,2,2,622.3e6
84,nom,6,72,26,60,400,72,26,60,400,fail,3.797e-9,4.896e-9,16.93e-6,34.97,477.2e6,10.48e6,481.2e6,1.24e-3,49.85,2,2,2,2,2,2,2,1,2,2,2,2,552.9e6
85,nom,6,72,26,60,500,72,26,60,500,fail,3.83e-9,4.881e-9,15.91e-6,34.42,429.2e6,9.529e6,434.4e6,1.24e-3,49.87,2,2,2,2,2,2,2,1,2,2,2,2,498e6
86,nom,6,72,26,60,600,72,26,60,600,fail,3.856e-9,4.872e-9,15.12e-6,34.17,390.7e6,8.767e6,392.1e6,1.24e-3,49.87,2,2,2,2,2,2,2,1,2,2,2,2,470.8e6
87,nom,6,72,26,60,700,72,26,60,700,fail,3.878e-9,4.867e-9,14.5e-6,34.2,358e6,8.084e6,362.8e6,1.24e-3,49.86,2,2,2,2,2,2,2,1,2,2,2,2,425.9e6
88,nom,6,72,26,60,800,72,26,60,800,fail,3.897e-9,4.863e-9,13.97e-6,34.19,332.1e6,7.552e6,335.4e6,1.24e-3,49.84,2,2,2,2,2,2,2,1,2,2,2,2,403e6
89,nom,6,72,26,60,900,72,26,60,900,fail,3.914e-9,4.86e-9,13.52e-6,34.25,310e6,7.089e6,311.2e6,1.24e-3,49.82,2,2,2,2,2,2,2,1,2,2,2,2,375.7e6
90,nom,6,72,26,60,1e3,72,26,60,1e3,fail,3.928e-9,4.858e-9,13.14e-6,34.4,290.5e6,6.661e6,294.1e6,1.24e-3,49.8,2,2,2,2,2,2,2,1,2,2,2,2,349.3e6
91,nom,6,72,26,100,100,72,26,100,100,near,3.555e-9,5.26e-9,27.77e-6,40.58,1.016e9,16.68e6,1.019e9,1.828e-3,47.91,2,2,2,2,2,2,2,1,2,2,2,2,716.3e6
92,nom,6,72,26,100,200,72,26,100,200,pass,3.631e-9,5.071e-9,23.44e-6,46.39,728.2e6,13.53e6,735.4e6,1.828e-3,49.11,2,2,2,2,2,2,2,1,2,2,2,2,654.8e6
93,nom,6,72,26,100,300,72,26,100,300,pass,3.689e-9,4.987e-9,20.93e-6,45.58,606.4e6,11.73e6,610.2e6,1.828e-3,49.49,2,2,2,2,2,2,2,1,2,2,2,2,593.4e6
94,nom,6,72,26,100,400,72,26,100,400,pass,3.727e-9,4.948e-9,19.49e-6,45.04,530e6,10.41e6,535.1e6,1.828e-3,49.68,2,2,2,2,2,2,2,1,2,2,2,2,537.4e6
95,nom,6,72,26,100,500,72,26,100,500,near,3.762e-9,4.92e-9,18.27e-6,44.62,474.4e6,9.434e6,478.5e6,1.828e-3,49.77,2,2,2,2,2,2,2,1,2,2,2,2,490.5e6
96,nom,6,72,26,100,600,72,26,100,600,near,3.789e-9,4.904e-9,17.38e-6,44.48,431.5e6,8.644e6,436.7e6,1.829e-3,49.82,2,2,2,2,2,2,2,1,2,2,2,2,448.7e6
97,nom,6,72,26,100,700,72,26,100,700,near,3.813e-9,4.892e-9,16.67e-6,44.45,396.7e6,7.936e6,397e6,1.829e-3,49.85,2,2,2,2,2,2,2,1,2,2,2,2,417.6e6
98,nom,6,72,26,100,800,72,26,100,800,near,3.832e-9,4.884e-9,16.11e-6,44.55,367.9e6,7.414e6,372e6,1.829e-3,49.87,2,2,2,2,2,2,2,1,2,2,2,2,393.9e6
99,nom,6,72,26,100,900,72,26,100,900,near,3.851e-9,4.877e-9,15.56e-6,44.61,343.2e6,6.944e6,347.4e6,1.829e-3,49.87,2,2,2,2,2,2,2,1,2,2,2,2,360.2e6
100,nom,6,72,26,100,1e3,72,26,100,1e3,near,3.868e-9,4.872e-9,15.12e-6,44.75,322e6,6.506e6,323.4e6,1.829e-3,49.87,2,2,2,2,2,2,2,1,2,2,2,2,334.5e6
101,nom,6,72,26,140,100,72,26,140,100,near,3.535e-9,5.349e-9,29.49e-6,56.39,928.7e6,17.52e6,935.8e6,2.415e-3,46.95,2,2,2,2,2,2,2,1,1,2,2,2,691.1e6
102,nom,6,72,26,140,200,72,26,140,200,pass,3.594e-9,5.148e-9,25.38e-6,54.18,728.3e6,13.77e6,735.8e6,2.417e-3,48.62,2,2,2,2,2,2,2,1,2,2,2,2,633.7e6
103,nom,6,72,26,140,300,72,26,140,300,pass,3.643e-9,5.055e-9,23e-6,52.52,626.9e6,11.76e6,627.7e6,2.417e-3,49.18,2,2,2,2,2,2,2,1,2,2,2,2,571.5e6
104,nom,6,72,26,140,400,72,26,140,400,pass,3.685e-9,4.996e-9,21.22e-6,51.72,539.9e6,10.42e6,546e6,2.417e-3,49.45,2,2,2,2,2,2,2,1,2,2,2,2,519.4e6
105,nom,6,72,26,140,500,72,26,140,500,pass,3.716e-9,4.962e-9,20.04e-6,51.36,490e6,9.387e6,491.9e6,2.417e-3,49.61,2,2,2,2,2,2,2,1,2,2,2,2,476.5e6
106,nom,6,72,26,140,600,72,26,140,600,pass,3.743e-9,4.939e-9,19.1e-6,51.22,448.8e6,8.561e6,454.4e6,2.417e-3,49.71,2,2,2,2,2,2,2,1,2,2,2,2,420.6e6
107,nom,6,72,26,140,700,72,26,140,700,pass,3.768e-9,4.92e-9,18.26e-6,51.15,414.2e6,7.854e6,417.4e6,2.418e-3,49.77,2,2,2,2,2,2,2,1,2,2,2,2,404.7e6
108,nom,6,72,26,140,800,72,26,140,800,pass,3.788e-9,4.908e-9,17.63e-6,51.16,382.6e6,7.334e6,385.2e6,2.418e-3,49.81,2,2,2,2,2,2,2,1,2,2,2,2,378.4e6
109,nom,6,72,26,140,900,72,26,140,900,pass,3.806e-9,4.899e-9,17.09e-6,51.31,358e6,6.845e6,362.5e6,2.418e-3,49.84,2,2,2,2,2,2,2,1,2,2,2,2,354.9e6
110,nom,6,72,26,140,1e3,72,26,140,1e3,pass,3.823e-9,4.891e-9,16.62e-6,51.48,336.6e6,6.395e6,340.1e6,2.418e-3,49.86,2,2,2,2,2,2,2,1,2,2,2,2,334.4e6
111,nom,6,72,26,180,100,72,26,180,100,near,3.529e-9,5.44e-9,30.97e-6,56.32,1.006e9,18.19e6,1.007e9,3.005e-3,45.98,2,2,2,2,2,2,2,1,1,2,2,2,645.5e6
112,nom,6,72,26,180,200,72,26,180,200,pass,3.57e-9,5.216e-9,26.88e-6,57.6,771.1e6,13.95e6,774.5e6,3.006e-3,48.14,2,2,2,2,2,2,2,1,2,2,2,2,614.1e6
113,nom,6,72,26,180,300,72,26,180,300,pass,3.614e-9,5.111e-9,24.47e-6,57.35,619e6,11.85e6,621.1e6,3.006e-3,48.86,2,2,2,2,2,2,2,1,2,2,2,2,558.7e6
114,nom,6,72,26,180,400,72,26,180,400,pass,3.65e-9,5.047e-9,22.79e-6,56.6,557.8e6,10.38e6,564.6e6,3.006e-3,49.22,2,2,2,2,2,2,2,1,2,2,2,2,504.1e6
115,nom,6,72,26,180,500,72,26,180,500,pass,3.684e-9,5e-9,21.37e-6,55.95,496.7e6,9.37e6,497.6e6,3.006e-3,49.43,2,2,2,2,2,2,2,1,2,2,2,2,460.5e6
116,nom,6,72,26,180,600,72,26,180,600,pass,3.71e-9,4.972e-9,20.4e-6,55.93,457.1e6,8.51e6,462.4e6,3.006e-3,49.56,2,2,2,2,2,2,2,1,2,2,2,2,429.7e6
117,nom,6,72,26,180,700,72,26,180,700,pass,3.733e-9,4.951e-9,19.6e-6,55.78,419.4e6,7.812e6,423.3e6,3.007e-3,49.66,2,2,2,2,2,2,2,1,2,2,2,2,394.2e6
118,nom,6,72,26,180,800,72,26,180,800,pass,3.753e-9,4.935e-9,18.92e-6,55.96,391.1e6,7.261e6,392.4e6,3.007e-3,49.72,2,2,2,2,2,2,2,1,2,2,2,2,370.3e6
119,nom,6,72,26,180,900,72,26,180,900,pass,3.773e-9,4.921e-9,18.26e-6,56.08,366.3e6,6.766e6,370.4e6,3.007e-3,49.76,2,2,2,2,2,2,2,1,2,2,2,2,348.6e6
120,nom,6,72,26,180,1e3,72,26,180,1e3,pass,3.79e-9,4.911e-9,17.77e-6,56.15,343.3e6,6.323e6,347.4e6,3.007e-3,49.8,2,2,2,2,2,2,2,1,2,2,2,2,324.7e6
121,nom,6,72,26,220,100,72,26,220,100,near,3.595e-9,5.708e-9,33.3e-6,56.38,1.02e9,18.48e6,1.023e9,3.595e-3,44.68,2,2,2,2,2,2,2,1,1,2,2,2,590.9e6
122,nom,6,72,26,220,200,72,26,220,200,near,3.549e-9,5.285e-9,28.28e-6,62.58,701.2e6,14.2e6,709.9e6,3.594e-3,47.66,2,2,2,2,2,2,2,1,1,2,2,2,598.6e6
