Point,Corner,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,Pass/Fail,CMRR_DC,OPAMP_RAK:OPAMP_DC:1,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Region_Drive_1,Region_Drive_2,Region_Mn_tail1,Region_Mn_tail2,Region_Mp_stg1_1,Region_Mp_stg1_2,Region_Mp_stg2,Region_Mp_Rz,Region_Mn2,Region_Mp3,Region_Mp4,Region_Mn_ibias,Slew Rate Value,PSRR_DC
164,nom,8,13,22,115,41,432,203,60,30,near,61.99,done,14.88e-9,16.21e-9,29.38e-6,74,59.82e6,1.06e6,60.34e6,249.2e-6,49.59,3,3,2,2,2,2,2,1,2,2,2,2,45.54e6,-51.1
204,nom,8,26,44,230,82,864,406,60,30,near,62.02,done,10.11e-9,11.04e-9,20.77e-6,63.62,95.26e6,1.782e6,96.02e6,488.5e-6,49.58,3,3,2,2,2,2,2,1,2,2,2,2,82.5e6,-51.12
168,nom,8,13,22,230,41,864,406,60,30,near,62.03,done,14.96e-9,16.21e-9,29.38e-6,76.32,49.38e6,886.8e3,49.53e6,453.1e-6,49.59,3,3,2,2,2,2,2,1,2,2,2,2,37.95e6,-51.09
199,nom,8,26,44,115,41,216,101,30,15,near,62.1,done,9.705e-9,10.85e-9,25.54e-6,66.58,138.5e6,2.329e6,140.1e6,284.4e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,107.9e6,-51.05
203,nom,8,26,44,230,41,432,203,30,15,near,62.15,done,9.725e-9,10.85e-9,25.54e-6,69.39,117.5e6,2.109e6,118.7e6,488.3e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,96.72e6,-51.03
207,nom,8,26,44,460,41,864,406,30,15,near,62.18,done,9.765e-9,10.85e-9,25.54e-6,72.55,96.63e6,1.749e6,97.22e6,896.2e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,78.89e6,-51.02
236,nom,8,52,88,115,165,432,203,60,30,near,62.21,done,6.614e-9,7.362e-9,14.67e-6,35.66,188.3e6,4.121e6,190e6,355.7e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,208.2e6,-51.12
241,nom,8,52,88,460,20,216,90,6,3,near,62.22,done,6.002e-9,7.246e-9,27.1e-6,71.05,263.2e6,4.822e6,265.5e6,966.4e-6,48.72,3,3,2,2,2,2,2,1,2,2,2,2,211.6e6,-49.99
240,nom,8,52,88,230,165,864,406,60,30,near,62.25,done,6.629e-9,7.361e-9,14.66e-6,44.2,166.1e6,3.53e6,167.6e6,559.5e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,174.1e6,-51.11
235,nom,8,52,88,115,82,216,101,30,15,near,62.29,done,6.415e-9,7.28e-9,18.06e-6,38.67,265e6,4.536e6,267.2e6,355.5e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,219.7e6,-51.07
239,nom,8,52,88,230,82,432,203,30,15,near,62.34,done,6.421e-9,7.28e-9,18.05e-6,49.96,237.3e6,4.165e6,239e6,559.3e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,201.2e6,-51.05
243,nom,8,52,88,460,82,864,406,30,15,near,62.37,done,6.439e-9,7.28e-9,18.05e-6,59.63,192.8e6,3.477e6,193.9e6,967.2e-6,49.57,3,3,2,2,2,2,2,1,2,2,2,2,165.4e6,-51.04
238,nom,8,52,88,230,41,216,98,14,7,near,62.53,done,6.21e-9,7.229e-9,22.11e-6,57.72,256.9e6,4.675e6,258e6,559e-6,49.32,3,3,2,2,2,2,2,1,2,2,2,2,208.9e6,-50.67
242,nom,8,52,88,460,41,432,196,14,7,near,62.56,done,6.218e-9,7.229e-9,22.11e-6,61.91,222.5e6,4.192e6,225.3e6,966.8e-6,49.32,3,3,2,2,2,2,2,1,2,2,2,2,194.4e6,-50.66
190,nom,8,26,22,115,20,216,101,30,15,near,62.68,done,13.03e-9,14e-9,31.27e-6,78.19,77.55e6,1.252e6,77.9e6,249.4e-6,50.27,3,3,2,2,2,2,2,1,2,2,2,2,50.89e6,-51.85
193,nom,8,26,22,230,10,216,98,14,7,near,62.69,done,12.54e-9,13.77e-9,38.65e-6,84.19,75.65e6,1.271e6,76.28e6,452.9e-6,49.97,3,3,2,2,2,2,2,1,2,2,2,2,50.01e6,-51.44
196,nom,8,26,22,460,5,216,90,6,3,near,62.71,done,12.1e-9,13.69e-9,47.33e-6,85.1,72.69e6,1.318e6,73.59e6,860.4e-6,49.3,3,3,2,2,2,2,2,1,2,2,2,2,48.43e6,-50.57
197,nom,8,26,22,460,10,432,196,14,7,near,62.72,done,12.57e-9,13.77e-9,38.65e-6,83.83,66.26e6,1.137e6,66.89e6,860.8e-6,49.97,3,3,2,2,2,2,2,1,2,2,2,2,44.43e6,-51.43
194,nom,8,26,22,230,20,432,203,30,15,near,62.73,done,13.06e-9,14e-9,31.27e-6,78.07,67.28e6,1.133e6,68.03e6,453.2e-6,50.27,3,3,2,2,2,2,2,1,2,2,2,2,45.94e6,-51.83
198,nom,8,26,22,460,20,864,406,30,15,near,62.76,done,13.13e-9,14e-9,31.27e-6,79.81,55.32e6,934.5e3,56.04e6,861.1e-6,50.27,3,3,2,2,2,2,2,1,2,2,2,2,37.71e6,-51.82
233,nom,8,52,44,460,20,432,196,14,7,near,62.83,done,8.524e-9,9.397e-9,27.32e-6,76.35,134.5e6,2.284e6,136e6,896.5e-6,49.96,3,3,2,2,2,2,2,1,2,2,2,2,94.21e6,-51.45
229,nom,8,52,44,230,20,216,98,14,7,near,62.84,done,8.51e-9,9.396e-9,27.32e-6,75.07,157.7e6,2.547e6,157.9e6,488.7e-6,49.96,3,3,2,2,2,2,2,1,2,2,2,2,107.6e6,-51.46
109,nom,4,26,22,115,20,216,98,14,7,near,62.88,done,9.292e-9,10.67e-9,31.51e-6,79.7,142.1e6,2.343e6,144e6,489.6e-6,49.58,3,3,2,2,2,2,2,1,2,2,2,2,102.4e6,-50.84
113,nom,4,26,22,230,20,432,196,14,7,near,62.93,done,9.311e-9,10.67e-9,31.5e-6,79.93,121.5e6,2.093e6,122.3e6,899.7e-6,49.58,3,3,2,2,2,2,2,1,2,2,2,2,90.26e6,-50.82
232,nom,8,52,44,460,10,216,90,6,3,near,62.95,done,8.226e-9,9.371e-9,33.44e-6,79.18,147.4e6,2.646e6,149e6,896.1e-6,49.29,3,3,2,2,2,2,2,1,2,2,2,2,103.2e6,-50.58
117,nom,4,26,22,460,20,864,393,14,7,near,62.97,done,9.358e-9,10.67e-9,31.5e-6,78.66,97.52e6,1.715e6,97.98e6,1.72e-3,49.58,3,3,2,2,2,2,2,1,2,2,2,2,72.38e6,-50.81
191,nom,8,26,22,115,41,432,203,60,30,near,63.01,done,13.56e-9,14.3e-9,24.87e-6,71.2,67.71e6,1.141e6,68.49e6,249.6e-6,50.3,3,3,2,2,2,2,2,1,2,2,2,2,46.66e6,-51.84
227,nom,8,52,44,115,82,432,203,60,30,near,63.02,done,9.13e-9,9.688e-9,17.59e-6,53.04,126.1e6,2.273e6,126.2e6,285.3e-6,50.3,3,3,2,2,2,2,2,1,2,2,2,2,99.47e6,-51.88
195,nom,8,26,22,230,41,864,406,60,30,near,63.05,done,13.62e-9,14.3e-9,24.87e-6,76.64,56.92e6,951.9e3,57.66e6,453.4e-6,50.3,3,3,2,2,2,2,2,1,2,2,2,2,38.81e6,-51.83
111,nom,4,26,22,115,82,864,406,60,30,near,63.06,done,10.06e-9,11.01e-9,20.79e-6,66.59,102.1e6,1.769e6,102.6e6,490.1e-6,49.8,3,3,2,2,2,2,2,1,2,2,2,2,79.94e6,-51.14
231,nom,8,52,44,230,82,864,406,60,30,near,63.07,done,9.171e-9,9.688e-9,17.59e-6,62.23,111.8e6,1.91e6,113.1e6,489.2e-6,50.3,3,3,2,2,2,2,2,1,2,2,2,2,83.08e6,-51.86
112,nom,4,26,22,230,10,216,90,6,3,near,63.09,done,8.96e-9,10.64e-9,38.35e-6,82.69,132.9e6,2.417e6,134.3e6,899.3e-6,48.98,3,3,2,2,2,2,2,1,2,2,2,2,97.11e6,-50.02
116,nom,4,26,22,460,10,432,181,6,3,near,63.13,done,8.978e-9,10.64e-9,38.35e-6,82.76,116.7e6,2.133e6,118e6,1.72e-3,48.98,3,3,2,2,2,2,2,1,2,2,2,2,84.73e6,-50.01
226,nom,8,52,44,115,41,216,101,30,15,near,63.16,done,8.825e-9,9.523e-9,21.94e-6,61,154.6e6,2.495e6,155.3e6,285.1e-6,50.25,3,3,2,2,2,2,2,1,2,2,2,2,109.3e6,-51.75
230,nom,8,52,44,230,41,432,203,30,15,near,63.21,done,8.838e-9,9.522e-9,21.94e-6,68.46,139.9e6,2.275e6,141.7e6,488.9e-6,50.25,3,3,2,2,2,2,2,1,2,2,2,2,98.24e6,-51.73
234,nom,8,52,44,460,41,864,406,30,15,near,63.24,done,8.878e-9,9.523e-9,21.94e-6,69.36,108.8e6,1.883e6,110.2e6,896.8e-6,50.25,3,3,2,2,2,2,2,1,2,2,2,2,79.95e6,-51.72
147,nom,4,52,44,115,165,864,406,60,30,near,63.25,done,6.584e-9,7.326e-9,14.68e-6,44.04,184.7e6,3.519e6,186.5e6,562.3e-6,49.79,3,3,2,2,2,2,2,1,2,2,2,2,170.7e6,-51.14
110,nom,4,26,22,115,41,432,203,30,15,near,63.25,done,9.682e-9,10.82e-9,25.55e-6,69.74,120.3e6,2.09e6,121.2e6,489.9e-6,49.81,3,3,2,2,2,2,2,1,2,2,2,2,94.18e6,-51.06
114,nom,4,26,22,230,41,864,406,30,15,near,63.3,done,9.725e-9,10.82e-9,25.54e-6,72.84,99e6,1.738e6,99.19e6,899.9e-6,49.8,3,3,2,2,2,2,2,1,2,2,2,2,76.68e6,-51.04
146,nom,4,52,44,115,82,432,203,30,15,near,63.38,done,6.382e-9,7.246e-9,18.06e-6,50.06,221.4e6,4.151e6,224e6,562e-6,49.8,3,3,2,2,2,2,2,1,2,2,2,2,197.2e6,-51.09
148,nom,4,52,44,230,20,216,90,6,3,near,63.41,done,5.965e-9,7.216e-9,27.1e-6,71.95,272.6e6,4.819e6,275.9e6,971.4e-6,48.97,3,3,2,2,2,2,2,1,2,2,2,2,207.6e6,-50.04
224,nom,8,52,22,460,10,432,196,14,7,near,63.42,done,11.68e-9,12.49e-9,34.46e-6,81.93,73.62e6,1.214e6,74.45e6,861.1e-6,50.44,3,3,2,2,2,2,2,1,2,2,2,2,45.71e6,-51.92
150,nom,4,52,44,230,82,864,406,30,15,near,63.43,done,6.399e-9,7.246e-9,18.06e-6,57.24,185.8e6,3.48e6,187.7e6,972.1e-6,49.8,3,3,2,2,2,2,2,1,2,2,2,2,162.5e6,-51.07
152,nom,4,52,44,460,20,432,181,6,3,near,63.45,done,5.974e-9,7.216e-9,27.1e-6,70.42,227.7e6,4.263e6,230.5e6,1.792e-3,48.97,3,3,2,2,2,2,2,1,2,2,2,2,180.6e6,-50.03
217,nom,8,52,22,115,20,216,101,30,15,near,63.48,done,12.06e-9,12.69e-9,27.71e-6,77.89,89.56e6,1.342e6,90.73e6,249.6e-6,50.79,3,3,2,2,2,2,2,1,2,2,2,2,51.88e6,-52.4
220,nom,8,52,22,230,10,216,98,14,7,near,63.51,done,11.65e-9,12.49e-9,34.46e-6,81.94,84.15e6,1.367e6,85.05e6,453.2e-6,50.44,3,3,2,2,2,2,2,1,2,2,2,2,51.37e6,-51.93
221,nom,8,52,22,230,20,432,203,30,15,near,63.53,done,12.1e-9,12.69e-9,27.71e-6,78.49,76.1e6,1.206e6,76.68e6,453.5e-6,50.78,3,3,2,2,2,2,2,1,2,2,2,2,46.53e6,-52.38
225,nom,8,52,22,460,20,864,406,30,15,near,63.56,done,12.16e-9,12.69e-9,27.71e-6,80.03,61.97e6,993.3e3,62.18e6,861.4e-6,50.78,3,3,2,2,2,2,2,1,2,2,2,2,38.58e6,-52.37
223,nom,8,52,22,460,5,216,90,6,3,near,63.63,done,11.28e-9,12.43e-9,42.35e-6,83.12,80.68e6,1.42e6,80.98e6,860.7e-6,49.71,3,3,2,2,2,2,2,1,2,2,2,2,50.1e6,-50.99
145,nom,4,52,44,115,41,216,98,14,7,near,63.64,done,6.171e-9,7.197e-9,22.12e-6,57.79,295.2e6,4.653e6,297.5e6,561.8e-6,49.56,3,3,2,2,2,2,2,1,2,2,2,2,208.9e6,-50.72
149,nom,4,52,44,230,41,432,196,14,7,near,63.7,done,6.178e-9,7.197e-9,22.11e-6,65.73,247e6,4.189e6,247.8e6,971.8e-6,49.56,3,3,2,2,2,2,2,1,2,2,2,2,191e6,-50.7
153,nom,4,52,44,460,41,864,393,14,7,near,63.73,done,6.198e-9,7.198e-9,22.11e-6,70.79,197.3e6,3.437e6,197.8e6,1.792e-3,49.56,3,3,2,2,2,2,2,1,2,2,2,2,153e6,-50.69
218,nom,8,52,22,115,41,432,203,60,30,near,63.82,done,12.54e-9,12.96e-9,21.8e-6,67.85,74.56e6,1.211e6,75.28e6,249.8e-6,50.86,3,3,2,2,2,2,2,1,2,2,2,2,47e6,-52.42
31,nom,2,26,22,230,10,216,74,2,1,near,63.83,done,6.441e-9,8.697e-9,38.38e-6,79.97,225.2e6,4.686e6,228.1e6,1.812e-3,47.32,2,2,2,2,2,2,2,1,1,2,2,2,185.7e6,-47.76
222,nom,8,52,22,230,41,864,406,60,30,near,63.87,done,12.62e-9,12.96e-9,21.8e-6,71.5,61.78e6,1.01e6,62.02e6,453.7e-6,50.86,3,3,2,2,2,2,2,1,2,2,2,2,39.36e6,-52.41
35,nom,2,26,22,460,10,432,148,2,1,near,63.88,done,6.447e-9,8.697e-9,38.38e-6,81.1,198.2e6,4.063e6,198.5e6,3.476e-3,47.32,2,2,2,2,2,2,2,1,1,2,2,2,158.7e6,-47.75
136,nom,4,52,22,115,20,216,98,14,7,near,63.99,done,8.477e-9,9.37e-9,27.32e-6,75.62,162.4e6,2.519e6,163.2e6,490.2e-6,50.21,3,3,2,2,2,2,2,1,2,2,2,2,104.4e6,-51.49
140,nom,4,52,22,230,20,432,196,14,7,near,64.06,done,8.493e-9,9.37e-9,27.31e-6,77.01,138e6,2.267e6,139.8e6,900.3e-6,50.21,3,3,2,2,2,2,2,1,2,2,2,2,92.04e6,-51.47
115,nom,4,26,22,460,5,216,74,2,1,near,64.08,done,8.679e-9,10.76e-9,46.23e-6,81.91,126.3e6,2.57e6,126.4e6,1.719e-3,47.78,3,3,2,2,2,2,2,1,2,2,2,2,90.89e6,-48.41
144,nom,4,52,22,460,20,864,393,14,7,near,64.09,done,8.533e-9,9.372e-9,27.31e-6,78.91,111.9e6,1.853e6,113.4e6,1.721e-3,50.21,3,3,2,2,2,2,2,1,2,2,2,2,74.83e6,-51.46
138,nom,4,52,22,115,82,864,406,60,30,near,64.16,done,9.126e-9,9.659e-9,17.59e-6,62.24,114.7e6,1.896e6,116e6,490.6e-6,50.52,3,3,2,2,2,2,2,1,2,2,2,2,80.33e6,-51.88
76,nom,2,52,88,230,41,216,74,2,1,near,64.34,done,3.168e-9,5.075e-9,23.23e-6,54.58,707.1e6,16.36e6,715.4e6,2.246e-3,46.38,2,2,2,2,2,2,2,1,1,2,2,2,806.3e6,-46.66
139,nom,4,52,22,230,10,216,90,6,3,near,64.34,done,8.199e-9,9.347e-9,33.44e-6,79.95,150.9e6,2.623e6,152.2e6,899.9e-6,49.55,3,3,2,2,2,2,2,1,2,2,2,2,100.8e6,-50.59
137,nom,4,52,22,115,41,432,203,30,15,near,64.37,done,8.803e-9,9.492e-9,21.93e-6,65.63,135.2e6,2.256e6,136.7e6,490.5e-6,50.49,3,3,2,2,2,2,2,1,2,2,2,2,95.52e6,-51.75
143,nom,4,52,22,460,10,432,181,6,3,near,64.38,done,8.214e-9,9.347e-9,33.43e-6,80.46,132.3e6,2.317e6,133.6e6,1.72e-3,49.55,3,3,2,2,2,2,2,1,2,2,2,2,88.02e6,-50.58
80,nom,2,52,88,460,41,432,148,2,1,near,64.4,done,3.17e-9,5.075e-9,23.23e-6,60.28,629.5e6,14.54e6,629.8e6,3.909e-3,46.37,2,2,2,2,2,2,2,1,1,2,2,2,703.5e6,-46.65
141,nom,4,52,22,230,41,864,406,30,15,near,64.43,done,8.84e-9,9.494e-9,21.94e-6,73,115.2e6,1.871e6,116.6e6,900.5e-6,50.48,3,3,2,2,2,2,2,1,2,2,2,2,78.03e6,-51.74
57,nom,2,52,22,115,82,864,406,30,15,near,64.46,done,6.343e-9,7.2e-9,18.07e-6,57.27,191.1e6,3.487e6,192.5e6,983.8e-6,50.01,3,3,2,2,2,2,2,1,2,2,2,2,161.9e6,-51.08
55,nom,2,52,22,115,20,216,90,6,3,near,64.61,done,5.915e-9,7.176e-9,27.1e-6,68.89,267e6,4.825e6,269.7e6,983.2e-6,49.2,3,3,2,2,2,2,2,1,2,2,2,2,207.4e6,-50.05
59,nom,2,52,22,230,20,432,181,6,3,near,64.69,done,5.923e-9,7.176e-9,27.1e-6,70.89,234.5e6,4.288e6,236.9e6,1.815e-3,49.2,3,3,2,2,2,2,2,1,2,2,2,2,180.7e6,-50.03
63,nom,2,52,22,460,20,864,363,6,3,near,64.73,done,5.944e-9,7.177e-9,27.1e-6,77.38,196.2e6,3.461e6,196.8e6,3.478e-3,49.19,3,3,2,2,2,2,2,1,2,2,2,2,144.9e6,-50.02
151,nom,4,52,44,460,10,216,74,2,1,near,64.79,done,5.793e-9,7.334e-9,32.66e-6,73.08,249.4e6,5.119e6,249.7e6,1.791e-3,47.76,3,3,2,2,2,2,2,1,2,2,2,2,194.7e6,-48.42
56,nom,2,52,22,115,41,432,196,14,7,near,64.83,done,6.125e-9,7.154e-9,22.12e-6,65.85,256.5e6,4.195e6,257.6e6,983.6e-6,49.79,3,3,2,2,2,2,2,1,2,2,2,2,189.9e6,-50.71
